,0
0,1049106.7121587328
1,1049073.7527756765
2,1048049.007273145
3,1046018.2959133957
4,1046130.5625995866
5,1048155.803396523
6,1047380.5329599674
7,1045896.6051217697
8,1045679.2092181575
9,1046056.5749970056
10,1044873.1439356102
11,1044566.2396249437
12,1043453.3326190421
13,1043459.8115637812
14,1044162.4352224225
15,1042648.8286992701
16,1042907.8875710772
17,1042822.3561375095
18,1043136.6540459478
19,1043829.1366043073
20,1044089.1306788464
21,1044308.2276212401
22,1044001.5602342165
23,1044606.6496446484
24,1044770.2590821836
25,1045984.5653614544
26,1045888.9229669082
27,1045243.6524408188
28,1043945.1560068419
29,1043982.6653011292
30,1042927.8703692222
31,1041807.7763920596
32,1042253.6374270758
33,1040132.3856164237
34,1039819.3200033655
35,1041340.1722776502
36,1039901.8891320936
37,1039743.9241992263
38,1040197.9226598201
39,1040297.7636581871
40,1040287.0809268547
41,1039688.7224404264
42,1040079.7050047971
43,1037686.4198041031
44,1037910.6013979772
45,1037636.5733408922
46,1038982.9809701752
47,1038151.5992630805
48,1039287.356575047
49,1038975.296733959
50,1038103.3012182161
51,1037876.1938156732
52,1038829.9215376779
53,1037759.5313115097
54,1036129.8185619011
55,1037223.4038127406
56,1037253.7230190707
57,1037917.0450781374
58,1037323.987523668
59,1036769.8134188225
60,1038316.4926315341
61,1037919.5225079996
62,1037713.8657507105
