,0
0,399.18517492408864
1,-747.3952697825152
2,4722.350521946326
3,1764.147977840621
4,-593.4800602637697
5,-912.3806694622617
6,2278.621041474864
7,-5298.364742866019
8,-235.6420065248385
9,-6321.830410770141
10,3348.081329543842
11,-1739.3162719581742
12,5657.809519503266
13,-1746.7703716508113
14,-6594.978610477177
15,2916.3415124083403
16,6994.477641914273
17,8133.907498281682
18,-3243.021858929191
19,3299.196492369985
20,385.4819970219396
21,1527.6447573497426
22,-7603.401208274066
23,-2348.8306674254127
24,-5666.210402740631
25,1706.9275492411107
26,3506.3558321108576
27,-6595.492892033886
28,837.9732805273961
29,494.3720899745822
30,763.7885660701431
31,-5852.1876130956225
32,-23.147574522998184
33,-2808.323013444664
34,1568.1888652967755
35,-1754.2801398762967
36,-4017.3767173935194
37,1312.5668939775787
38,452.2463620873168
39,-79.89143368392251
40,1380.7080301998649
41,275.89182175067253
42,1235.4493531843182
43,1425.4632144912612
44,-115.42955144820735
45,4772.436702279141
46,1119.2029985587578
47,3490.306244679261
48,-1467.6152755192015
49,669.8979537605774
50,-758.693934625946
51,-1165.024979445152
52,484.4479718818329
53,-836.0285692547914
54,-1418.3878021622077
55,2069.1975888914894
56,-3950.422164092306
57,1111.187283114763
58,362.0906314298045
59,-2247.978100804845
60,-1671.7940361616202
61,-2363.6170074506663
