,0
0,-480.31516760773957
1,13570.81617689901
2,-16643.78236126271
3,132.17497626226395
4,-26834.454105295474
5,8551.970633614575
6,4848.889838743256
7,869.5586562769022
8,-8252.547002750915
9,-5119.43832967151
10,-82.96097919926979
11,2416.66534566856
12,-5679.299927269574
13,7110.169884566683
14,12607.606765313074
15,-1596.1393010411412
16,-884.38284832309
17,7779.015246307477
18,3710.591620613355
19,7050.024531919509
20,646.0347705155145
21,18297.643831641413
22,11342.717444438487
23,19467.937911207322
24,-7247.35414610547
25,-3489.8358764695004
26,12879.988576728152
27,40348.76019634493
28,2319.4508375623263
29,7651.195880181156
30,-13703.754274538485
31,-5336.028593740193
32,4038.4776347121224
33,-6173.471523580607
34,-380.3732790276408
35,-5772.115451143822
36,-4317.221401021117
37,-6285.59369193553
38,-6927.721764973598
39,1020.9382777884603
40,933.1590143428184
41,7136.560464457609
42,-4727.211074008141
43,3759.850684409961
44,12408.729627988068
45,-6169.134522166802
46,2472.466944101965
47,-719.2800730702002
48,4218.755326513667
49,1879.9714131166693
50,4504.610634538112
51,-5093.838271046756
52,9336.943877288839
53,-1070.4681769751478
54,3858.744975825306
55,1161.42373943259
56,49.54028258216567
57,-1390.7135871346109
58,-4785.191580961226
59,753.7565791939851
60,-2130.538481104886
61,1005.9361766749062
