,Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,pct_change,change_amount,turnover,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,prediction,predict_percentages,actual_percentage
1748,2023-09-25,002600,5.65,5.6,5.69,5.57,342706,195664703.35,2.13,-0.53,-0.03,0.5,2023,9,25,5.534000000000001,5.654,5.7565,31.730769230769212,-0.10335500448396928,-0.0914929771012185,-0.011862027382750787,7.63390468965196,5.76,0.18093325317749517,6.12186650635499,5.39813349364501,24.05,-0.5328596802841923,0.15499999999999994,5.63,5.45,5.64,5.42,,,
1749,2023-09-26,002600,5.6,5.53,5.64,5.53,271512,153632099.79,1.96,-1.25,-0.07,0.39,2023,9,26,5.522,5.6209999999999996,5.76,30.000000000000014,-0.10436786834299028,-0.09406795534957285,-0.010299912993417426,7.6334803160307105,5.7475,0.18797746225523418,6.123454924510468,5.371545075489531,24.05,-1.2499999999999845,0.15642857142857133,5.6,5.65,5.69,5.57,,,
1750,2023-09-27,002600,5.53,5.51,5.57,5.49,283089,159349273.12,1.45,-0.36,-0.02,0.41,2023,9,27,5.532,5.58,5.7475,32.673267326732656,-0.10556748682691808,-0.09636786164504191,-0.00919962518187617,7.633033824528239,5.7305,0.1935125454932743,6.117525090986549,5.343474909013452,24.05,-0.3616636528029016,0.152142857142857,5.53,5.6,5.64,5.53,,,
1751,2023-09-28,002600,5.53,5.62,5.65,5.52,541373,308146332.85,2.36,2.0,0.11,0.79,2023,9,28,5.545999999999999,5.559,5.7305,40.36697247706423,-0.09652938180062876,-0.09640016567615928,-0.00012921612446947783,7.632224700623521,5.7155000000000005,0.18963885344773332,6.094777706895467,5.336222293104534,24.05,1.9963702359346636,0.15428571428571422,5.51,5.53,5.57,5.49,,,
1752,2023-10-09,002600,5.6,5.78,5.83,5.58,718864,419608208.68,4.45,2.85,0.16,1.04,2023,10,9,5.578,5.556,5.7155000000000005,43.47826086956525,-0.07558466268543818,-0.09223706507801506,0.016652402392576884,7.6312366571723045,5.71,0.18586922397530328,6.081738447950607,5.338261552049393,24.05,2.8469750889679846,0.16071428571428564,5.62,5.53,5.65,5.52,,,
1753,2023-10-10,002600,5.8,5.88,5.9,5.75,608489,361153366.45,2.6,1.73,0.1,0.88,2023,10,10,5.608,5.571,5.71,47.580645161290306,-0.050336410812447774,-0.0838569342249016,0.03352052341245383,7.630446274965349,5.705,0.17945824906652683,6.063916498133054,5.346083501866946,24.05,1.730103806228378,0.16214285714285712,5.78,5.6,5.83,5.58,,,
1754,2023-10-11,002600,5.85,6.0,6.05,5.83,766127,464683964.58,3.74,2.04,0.12,1.11,2023,10,11,5.664,5.593000000000001,5.705,62.28070175438598,-0.020408733010961022,-0.0711672939821135,0.05075856097115247,7.629520298120919,5.706,0.1811193267612394,6.068238653522479,5.343761346477522,24.05,2.0408163265306145,0.15499999999999994,5.88,5.8,5.9,5.75,,,
1755,2023-10-12,002600,5.98,5.94,6.02,5.91,483914,292616077.04,1.83,-1.0,-0.06,0.7,2023,10,12,5.758,5.6450000000000005,5.706,62.83185840707965,-0.0015148688301840352,-0.05723680895172761,0.05572194012154357,7.6289144431130635,5.7045,0.17892883030947898,6.062357660618958,5.3466423393810425,24.05,-0.9999999999999898,0.152142857142857,6.0,5.85,6.05,5.83,,,
1756,2023-10-13,002600,5.91,5.95,6.02,5.88,419002,253970721.76,2.36,0.17,0.01,0.61,2023,10,13,5.844,5.695,5.7045,64.2857142857143,0.014103000471909155,-0.04296884706700026,0.05707184753890941,7.6283933120778515,5.7090000000000005,0.18410237426675174,6.077204748533504,5.340795251466497,24.05,0.16835016835017313,0.15357142857142841,5.94,5.98,6.02,5.91,,,
1757,2023-10-16,002600,5.93,5.82,5.96,5.79,411257,244897785.33,2.86,-2.18,-0.13,0.6,2023,10,16,5.91,5.744,5.7090000000000005,56.557377049180346,0.015808134535121532,-0.0312134507465759,0.047021585281697434,7.627842534591252,5.708499999999999,0.18376973578258884,6.076039471565177,5.340960528434821,24.05,-2.1848739495798353,0.15285714285714272,5.95,5.91,6.02,5.88,,,
1758,2023-10-17,002600,5.82,5.76,5.88,5.73,370197,217239272.62,2.58,-1.03,-0.06,0.54,2023,10,17,5.918,5.763,5.708499999999999,62.7272727272727,0.012177591313591307,-0.02253524233454246,0.03471283364813377,7.627330588665681,5.7,0.17678413836958415,6.053568276739169,5.346431723260832,24.05,-1.0309278350515538,0.1478571428571427,5.82,5.93,5.96,5.79,,,
1759,2023-10-18,002600,5.75,5.63,5.76,5.61,394565,226946887.0,2.6,-2.26,-0.13,0.57,2023,10,18,5.894,5.779000000000001,5.7,57.98319327731091,-0.0011759977210950012,-0.01826339341185297,0.01708739569075797,7.626747287832746,5.6845,0.1680061089118726,6.020512217823745,5.348487782176255,24.05,-2.256944444444442,0.15214285714285694,5.76,5.82,5.88,5.73,,,
1760,2023-10-19,002600,5.62,5.64,5.74,5.61,578330,332841319.09,2.31,0.18,0.01,0.84,2023,10,19,5.82,5.789,5.6845,57.627118644067785,-0.010827088871106838,-0.016776132503703745,0.0059490436325969065,7.625897214146704,5.6805,0.16806875159674084,6.016637503193482,5.344362496806519,24.05,0.1776198934280604,0.15285714285714272,5.63,5.75,5.76,5.61,,,
1761,2023-10-20,002600,5.61,5.43,5.64,5.43,512028,285900419.58,3.72,-3.72,-0.21,0.74,2023,10,20,5.76,5.802,5.6805,41.80327868852458,-0.03501723619523478,-0.020424353242009953,-0.014592882953224827,7.625065681215271,5.6695,0.1771254387510749,6.02375087750215,5.315249122497851,24.05,-3.7234042553191515,0.152142857142857,5.64,5.62,5.74,5.61,,,
1762,2023-10-23,002600,5.41,5.3,5.43,5.21,545655,293562202.81,4.05,-2.39,-0.13,0.79,2023,10,23,5.656000000000001,5.7829999999999995,5.6695,38.63636363636364,-0.06394094437003339,-0.029127671467614642,-0.03481327290241875,7.624127791274615,5.6530000000000005,0.1954239655618492,6.043847931123699,5.262152068876302,24.05,-2.3941068139963106,0.15928571428571411,5.43,5.61,5.64,5.43,,,
1763,2023-10-24,002600,5.37,5.32,5.42,5.23,470612,253290651.68,3.58,0.38,0.02,0.68,2023,10,24,5.552,5.735,5.6530000000000005,41.732283464566926,-0.08427785596715509,-0.040157708367522735,-0.044120147599632356,7.623326450936817,5.636000000000001,0.20909328061927163,6.054186561238544,5.217813438761458,24.05,0.37735849056603765,0.16499999999999984,5.3,5.41,5.43,5.21,,,
1764,2023-10-25,002600,5.35,5.5,5.53,5.32,606763,334660006.22,3.95,3.38,0.18,0.88,2023,10,25,5.464,5.679,5.636000000000001,49.65034965034966,-0.08489192794817946,-0.04910455228365408,-0.035787375664525375,7.622374776045726,5.6370000000000005,0.20835445506995498,6.05370891013991,5.2202910898600905,24.05,3.383458646616533,0.17428571428571413,5.32,5.37,5.42,5.23,,,
1765,2023-10-26,002600,5.46,5.71,5.73,5.41,750662,428271713.18,5.82,3.82,0.21,1.09,2023,10,26,5.438,5.6290000000000004,5.6370000000000005,52.94117647058823,-0.06765347234416019,-0.052814336295755306,-0.014839136048404887,7.621314962557587,5.6505,0.20361147212049904,6.057722944240998,5.243277055759002,24.05,3.8181818181818095,0.18714285714285697,5.5,5.35,5.53,5.32,,,
1766,2023-10-27,002600,5.67,5.94,5.96,5.6,892450,526192410.02,6.3,4.03,0.23,1.3,2023,10,27,5.452,5.606,5.6505,55.0,-0.035029001744496746,-0.049257269385503594,0.014228267641006848,7.620207933733183,5.6745,0.2082123157288778,6.090924631457756,5.2580753685422446,24.05,4.028021015761829,0.19499999999999984,5.71,5.46,5.73,5.41,,,
1767,2023-10-30,002600,5.87,5.98,6.02,5.82,1135507,684138744.85,3.37,0.67,0.04,1.65,2023,10,30,5.554,5.6049999999999995,5.6745,53.246753246753265,-0.00587844498698864,-0.04058150450580061,0.03470305951881197,7.618834995490454,5.692,0.2187187571676725,6.129437514335345,5.254562485664655,24.05,0.6734006734006703,0.19857142857142834,5.94,5.67,5.96,5.6,,,
1768,2023-10-31,002600,5.94,6.0,6.08,5.93,650750,395461123.87,2.51,0.33,0.02,0.94,2023,10,31,5.69,5.621,5.692,50.0,0.01862274272886033,-0.02874065505886842,0.04736339778772875,7.618058800643974,5.712000000000001,0.2279565979006636,6.167913195801328,5.256086804198674,24.05,0.33444816053511683,0.19357142857142837,5.98,5.87,6.02,5.82,,,
1769,2023-11-01,002600,5.98,5.93,6.04,5.92,558101,336571400.61,2.0,-1.17,-0.07,0.81,2023,11,1,5.8260000000000005,5.645,5.712000000000001,49.65517241379308,0.032022559398213524,-0.016588012167452034,0.04861057156566556,7.617364934313282,5.732,0.22869423392754756,6.189388467855095,5.274611532144905,24.05,-1.1666666666666714,0.19428571428571415,6.0,5.94,6.08,5.93,,,
