,Date,Open,High,Low,Close,Volume,pct_change,turnover,Amount,change_amount,Amplitude,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,prediction,predict_percentages,actual_percentage
1860,2023-09-08,49.56200298,50.21123337,49.56200298,50.05198818,4663438,0.1471,0.2236,189946717.71,0.07349778000000384,1.297112090063631,2023,9,8,50.980510134,50.881288131000005,51.324724737,48.30741079597438,-0.19071457829799954,0.04964730228000241,-0.24036188057800195,51.15345961063948,51.2028409185,1.0140902210879188,53.23102136067584,49.17466047632416,24.05,0.14705882352941124,1.8934428085714288,49.9784904,49.83149484,50.62772079,49.83149484,,,
1861,2023-09-11,50.00298966,51.43619637,50.00298966,50.90946228,12154556,1.7132,0.5828,503952278.91,0.8574740999999975,2.8152069297401354,2023,9,11,50.708568348,50.782066128000004,51.2028409185,47.09737827715355,-0.16931336527514418,0.0058551687689730875,-0.17516853404411725,51.15334455158928,51.1330180275,0.9817005432662214,53.09641911403244,49.16961694096756,24.05,1.7131669114047954,1.8960677292857149,50.05198818,49.56200298,50.21123337,49.56200298,,,
1862,2023-09-12,46.68333993,50.33372967,46.68333993,46.96508142,39730051,-7.7478,1.9051,1549772365.38,-3.9443808600000025,7.772561293688042,2023,9,12,50.417027153999996,50.691418866,51.1330180275,37.933634992458515,-0.46526800070994057,-0.08836946512680964,-0.3768985355831309,51.146898692826774,50.828614722,1.2595436514054175,53.34770202481083,48.309527419189166,24.05,-7.747834456207903,2.1191859900000005,50.90946228,50.00298966,51.43619637,50.00298966,,,
1863,2023-09-13,46.78133697,47.62656144,46.78133697,47.21007402,18629772,0.5216,0.8933,717485178.71,0.24499260000000334,1.7903476907109603,2023,9,13,49.762896911999995,50.26513174200001,50.828614722,41.019607843137265,-0.6722955219114439,-0.20515467648373648,-0.46714084542770745,51.14405967567831,50.5683100845,1.4393145153338132,53.44693911516762,47.68968105383237,24.05,0.5216484089723528,2.062312707857143,46.96508142,46.68333993,50.33372967,46.68333993,,,
1864,2023-09-14,46.58534289,47.57756292,46.58534289,46.85483475,13130900,-0.7525,0.6296,502821397.0,-0.35523926999999844,2.1176470588235263,2023,9,14,49.02301926,49.965015807,50.5683100845,35.98360655737706,-0.8551732592412691,-0.33515839303524303,-0.520014866206026,51.14188062652391,50.317192669499995,1.625074098792533,53.567340867085065,47.067044471914926,24.05,-0.7524649714582221,1.964315667857143,47.21007402,46.78133697,47.62656144,46.78133697,,,
1865,2023-09-15,46.68333993,47.92055256,46.68333993,47.06307846,12875832,0.4444,0.6174,497390141.36,0.20824370999999786,2.628839146277969,2023,9,15,48.398288130000005,49.689399132,50.317192669499995,33.47529812606474,-0.9720959397220028,-0.46254590237259496,-0.5095500373494078,51.13984974139034,50.047088328,1.6966343852784127,53.440357098556824,46.65381955744318,24.05,0.4444444444444473,1.687824019285714,46.85483475,46.58534289,47.57756292,46.58534289,,,
1866,2023-09-18,46.09535769,47.01407994,46.09535769,46.85483475,10419990,-0.4425,0.4997,397192489.31,-0.20824370999999786,1.9607843137254939,2023,9,18,47.80050618599999,49.254537267,50.047088328,34.38320209973753,-1.0692360458567975,-0.5838839310694355,-0.48535211478736207,51.138123815655696,49.864568841,1.83542800701119,53.53542485502238,46.193712826977624,24.05,-0.4424778761061954,1.6309507371428569,47.06307846,46.68333993,47.92055256,46.68333993,,,
1867,2023-09-19,45.99736065,46.90383327,45.99736065,46.35259992,11238600,-1.0719,0.5389,425896079.7,-0.502234829999999,1.9556025369978909,2023,9,19,46.98958068,48.703303917,49.864568841,35.69482288828338,-1.173222257377148,-0.701751596330978,-0.4714706610461701,51.13604576785828,49.59875187,1.9422196061597905,53.48319108231958,45.71431265768042,24.05,-1.0718954248365997,1.5565779835714284,46.85483475,46.09535769,47.01407994,46.09535769,,,
1868,2023-09-20,45.50737545,46.3036014,45.50737545,46.0586088,8646900,-0.6342,0.4146,324729108.0,-0.29399112000000116,1.7287234042553195,2023,9,20,46.86708438,48.314990646,49.59875187,36.52416356877324,-1.2647751647805237,-0.814356310020887,-0.4504188547596366,51.13434997136226,49.357434159,2.0696517893409183,53.49673773768184,45.21813058031816,24.05,-0.634249471458781,1.5189541200000005,46.35259992,45.99736065,46.90383327,45.99736065,,,
1869,2023-09-21,45.50737545,46.21785399,45.50737545,45.8136162,8836113,-0.5319,0.4237,330747334.55,-0.24499260000000334,1.5508021390374418,2023,9,21,46.636791336,47.829905298,49.357434159,25.922023182297167,-1.3416348276774173,-0.9198120135521932,-0.42182281412522404,51.132534650706354,49.1473530045,2.2079875137895515,53.5633280320791,44.731377976920896,24.05,-0.5319148936170248,1.3815832692857153,46.0586088,45.50737545,46.3036014,45.50737545,,,
