,0
0,1273454.2798485975
1,1280874.6368816623
2,1287356.0176435588
3,1284882.3575279857
4,1299773.7998148464
5,1303372.864796123
6,1305210.428737728
7,1294959.92489163
8,1308750.1555622309
9,1305596.1270335552
10,1302904.3791369074
11,1294546.5924291979
12,1296092.2267856798
13,1290122.377269634
14,1297500.9799450794
15,1294258.6363585643
16,1289266.1158426544
17,1293175.0415853476
18,1310354.6346650096
19,1314562.0004370227
20,1309440.6090793153
21,1310039.9866737435
22,1312474.0242805365
23,1307922.8288082243
24,1295274.015074314
25,1293516.7253165613
26,1286703.9536756927
27,1289192.251239817
28,1295473.4051227744
29,1288301.6823963826
30,1306622.3688074544
31,1305709.1581957946
32,1316904.8550326978
33,1311836.9118405902
34,1303310.3335475642
35,1305854.3023194175
36,1324305.4460334978
37,1328771.9089218816
38,1307705.2426129177
39,1306454.3158543208
40,1310771.6928319717
41,1306955.963883934
42,1311500.4026891072
43,1315305.027095933
44,1323556.2426251227
45,1320472.4357207003
46,1334551.5957467104
47,1333425.4207414265
48,1320886.3451259902
49,1317505.489396629
50,1316444.0085864938
51,1319906.786582164
52,1336331.2177864762
53,1336269.470105798
54,1344258.935428669
55,1338675.447986664
56,1345966.6058032126
57,1356751.9288948479
58,1338436.1179780676
59,1330773.3408467956
60,1327197.5822346811
61,1326688.1634184034
62,1314709.0016383645
