,0
0,-1757.0700239262078
1,6481.380761896493
2,-2473.6601155730896
3,14891.442286860663
4,3599.064981276635
5,1837.5639416049235
6,-10250.50384609797
7,13790.230670600897
8,-3154.02852867567
9,-2691.7478966477793
10,-8357.786707709543
11,1545.6343564819545
12,-5969.849516045768
13,7378.602675445378
14,-3242.3435865151696
15,-4992.520515909884
16,3908.9257426932454
17,17179.59307966195
18,4207.365772013087
19,-5121.391357707325
20,599.377594428137
21,2434.03760679299
22,-4551.19547231216
23,-12648.81373391021
24,-1757.289757752791
25,-6812.771640868625
26,2488.297564124223
27,6281.153882957529
28,-7171.722726391861
29,18320.6864110718
30,-913.2106116598006
31,11195.696836903226
32,-5067.943192107603
33,-8526.57829302596
34,2543.9687718532514
35,18451.143714080332
36,4466.462888383772
37,-21066.666308963904
38,-1250.9267585969064
39,4317.376977650914
40,-3815.7289480376057
41,4544.438805173151
42,3804.624406825751
43,8251.215529189678
44,-3083.806904422352
45,14079.160026010126
46,-1126.1750052839052
47,-12539.075615436304
48,-3380.8557293612976
49,-1061.4808101351373
50,3462.7779956702143
51,16424.431204312248
52,-61.74768067826517
53,7989.465322870994
54,-5583.48744200496
55,7291.157816548599
56,10785.323091635248
57,-18315.81091678026
58,-7662.777131272014
59,-3575.7586121144705
60,-509.4188162777573
61,-11979.161780038849
