tic,type,quantity,price,day
002905,sell,100,9.92856480554212,0
601877,sell,100,24.496884147252423,0
300442,sell,100,56.96758790584281,0
000338,sell,100,14.893799993433058,0
002001,buy,100,22.572516179867087,0
600795,buy,100,4.395024751941674,0
002600,buy,100,11.092038128345738,0
000776,buy,100,20.191205369234083,0
002905,sell,100,9.865796601343899,1
601877,sell,100,24.16010678402614,1
300442,sell,100,55.51083775743842,1
000338,sell,100,14.792802457232028,1
002001,buy,100,23.34810814253986,1
600795,buy,100,4.649916750742123,1
002600,buy,100,12.160628403360025,1
000776,buy,100,20.186390418279917,1
002905,sell,100,9.744396980041637,2
601877,sell,100,24.248130731703714,2
300442,sell,100,55.983497825386,2
000338,sell,100,14.951712592989207,2
002001,buy,100,23.42585724843666,2
600795,buy,100,4.652673422172666,2
002600,buy,100,12.977884116210044,2
000776,buy,100,20.609488052353264,2
002905,sell,100,9.873811021191067,3
601877,sell,100,24.182412112141026,3
300442,sell,100,55.23047259075567,3
000338,sell,100,15.079990980997682,3
002001,buy,100,23.57431044277735,3
600795,buy,100,4.68549335540738,3
002600,buy,100,12.035371431596579,3
000776,buy,100,20.580823205411434,3
002905,sell,100,9.797446246957406,4
601877,sell,100,24.3048981966509,4
300442,sell,100,58.03396399529651,4
000338,sell,100,15.159495867746882,4
002001,buy,100,24.183578228987752,4
600795,buy,100,4.678051836460363,4
002600,buy,100,12.242223908500746,4
000776,buy,100,21.894306558966637,4
002905,sell,100,9.766537820799275,5
601877,sell,100,24.674290059655902,5
300442,sell,100,58.972450784966355,5
000338,sell,100,15.383014715641039,5
002001,buy,100,24.206345443334428,5
600795,buy,100,4.708721648305654,5
002600,buy,100,13.466515089403837,5
000776,buy,100,21.73943416625261,5
002905,sell,100,10.008516095638333,6
601877,sell,100,25.199606334343553,6
300442,sell,100,58.27543752498925,6
000338,sell,100,15.356926932429197,6
002001,buy,100,24.07797358278185,6
600795,buy,100,4.7002373151085335,6
002600,buy,100,14.840018540387973,6
000776,buy,100,21.59345065437257,6
002905,sell,100,9.535903202088084,7
601877,sell,100,24.834723026268183,7
300442,sell,100,58.686767744868995,7
000338,sell,100,15.004038545787335,7
002001,buy,100,24.967260049283507,7
600795,buy,100,4.67105368964374,7
002600,buy,100,14.647608655113727,7
000776,buy,100,20.905434627793728,7
002905,sell,100,9.62369604334235,8
601877,sell,100,26.800828812122344,8
300442,sell,100,59.69665969759226,8
000338,sell,100,15.048948418423533,8
002001,buy,100,24.635384410619736,8
600795,buy,100,4.7122940885555,8
002600,buy,100,16.118315857760606,8
000776,buy,100,21.4829826033907,8
002905,sell,100,9.356554441445041,9
601877,sell,100,26.570974621735512,9
300442,sell,100,57.460248154774305,9
