tic,type,quantity,price,day
000338,sell,100,13.336925573945045,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
000776,sell,59,16.90905111523345,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
600795,sell,34,4.67136201858928,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
002905,sell,5,7.135910093933344,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
601336,buy,100,69.41340274679156,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
300442,buy,100,33.686082489578986,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
002600,buy,100,8.585311358096078,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
002001,buy,67,22.690777206523343,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
601628,buy,31,47.52080132134259,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
601877,buy,30,23.166556200999764,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
0 2024-11-11     000776  ...                   -1.162217          69.413403

[1 rows x 191 columns]"
002905,sell,63,7.2968821456655855,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
601336,sell,44,68.7709874814316,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
000338,sell,38,13.418922123033553,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
300442,buy,100,34.839448394738135,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
002001,buy,100,22.734749025626808,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
002600,buy,68,8.916763754705899,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
000776,buy,61,16.979149865647777,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
601877,buy,60,23.22145781368017,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
601628,buy,31,46.03741569025442,"        Date Tic_000776  ...  predict_percentages_601336  prediction_601336
1 2024-11-12     000776  ...                   -1.028602          68.770987

[1 rows x 191 columns]"
