,0
0,1161991.1404204401
1,1156393.8779008188
2,1148546.187305516
3,1160932.013869537
4,1151304.0703611162
5,1159600.7124179187
6,1147709.805782081
7,1146425.8576833683
8,1142831.6890907504
9,1140231.0260910662
10,1141406.2483431827
11,1139189.6433894895
12,1133125.4710406275
13,1127877.7074928079
14,1127844.1546878153
15,1123811.078574908
16,1123588.3866768412
17,1114271.074335816
18,1120490.815546122
19,1121226.0651196048
20,1135481.6375931147
21,1152397.272805104
22,1145932.4932099166
23,1148226.5405744873
24,1148847.45097471
25,1146650.4801745734
26,1136993.4458693003
27,1135088.8989494434
28,1128514.6342046515
29,1131102.204474763
30,1133232.0142007326
31,1132372.3481256675
32,1138797.790963828
33,1137141.263612141
34,1142410.2160031688
35,1167571.858722969
36,1189643.8992207912
37,1216746.4371500122
38,1272684.5392155526
39,1345606.3155966902
40,1418033.148628191
41,1371441.7172942222
42,1374355.9067838334
43,1363592.3061121837
44,1372092.8513989279
45,1354252.4531350597
46,1334088.524330071
47,1332450.106586864
48,1362796.6149315652
49,1370992.8576348033
50,1381041.7433278316
51,1393256.023278478
52,1370209.9663750273
53,1373496.813974427
54,1363560.0583735234
55,1346440.7192199714
56,1340094.2658571748
57,1372367.4899776524
58,1355064.2809090249
59,1378269.2876624404
60,1422861.5878791593
61,1424632.9273519216
62,1477175.815107437
