,0
0,-2781.112899265252
1,694.5153332285117
2,672.5219581208657
3,221.1891318759881
4,-402.37846864853054
5,-1912.8843650177587
6,-443.41703592799604
7,-981.5601731482893
8,1097.7815831128974
9,-1412.6977034893353
10,-11.524399317102507
11,-1551.7219433258288
12,-281.4207402872853
13,-858.65065026097
14,493.1556073522661
15,523.4088358914014
16,-2972.696938885143
17,983.3342586453073
18,964.9598450097255
19,4018.2263498511165
20,1977.211536984425
21,-16.89413144439459
22,-1553.6358676503878
23,1141.4627940473147
24,-2055.93746420322
25,-1832.5916817847174
26,-847.9480716760736
27,-2467.5123674117494
28,-69.87511193868704
29,301.10873569664545
30,1076.070007963106
31,1428.526189371245
32,-192.10724190878682
33,568.8964511854574
34,7436.063992521027
35,3951.8403963309247
36,6815.394079220947
37,11203.053731161635
38,22318.33194233454
39,18194.72660246282
40,-23209.32621037378
41,1569.9798977861647
42,-8139.793758073356
43,6046.759579794016
44,-7254.289710065117
45,-496.40259095677175
46,-205.14440102037042
47,7429.527409193106
48,10.067427751142532
49,4569.754751840839
50,2541.6964222972747
51,-3895.4262043470517
52,1333.7211463586427
53,-273.1723128813319
54,-5200.443115556613
55,-1399.802553807851
56,2877.7550269397907
57,-2663.2916396611836
58,4322.4851988810115
59,11074.80634432123
60,-682.1187945543788
61,12838.892443788936
