,0
0,1181591.6167439858
1,1170095.8802357977
2,1156863.619610411
3,1163244.5650334277
4,1158636.9189455924
5,1164056.5533346962
6,1151827.9159089716
7,1149327.8981685964
8,1143269.9483591155
9,1145155.093995201
10,1147061.8225175946
11,1146830.1038766145
12,1141869.082943234
13,1141785.8710172023
14,1141418.0220832704
15,1143481.8788077943
16,1143411.7344486048
17,1133925.324284638
18,1139158.5757349972
19,1146225.7236599145
20,1162442.0655643642
21,1167511.2272152742
22,1165854.7711259671
23,1164782.7529837782
24,1168158.9240970223
25,1161541.7146384986
26,1156952.261553016
27,1156338.4914320712
28,1151730.950448076
29,1150706.153929416
30,1152401.7831238313
31,1153421.0605969897
32,1161406.1151435704
33,1160061.8750799764
34,1163149.7771495418
35,1174462.7774234395
36,1190539.2917902877
37,1206685.5647169873
38,1245502.6359085306
39,1312939.6735790744
40,1373308.272160694
41,1310754.4810736622
42,1308804.8596810617
43,1291823.9115995346
44,1298858.8863463933
45,1286667.978095998
46,1277267.774046273
47,1274325.2183810952
48,1292135.4857598357
49,1300361.218444413
50,1305582.5191414426
51,1310088.5782265887
52,1297162.2618849268
53,1307645.365400157
54,1311093.0342608662
55,1295676.5842779025
56,1292116.389051238
57,1297022.2538418649
58,1285480.8967693723
59,1297554.2947970084
60,1319000.5943831394
61,1314329.6933317245
62,1331897.0316261426
