,0
0,1331897.0316261426
1,1346518.606110612
2,1332294.136283907
3,1338223.347185147
4,1321529.9482971323
5,1308154.4491580615
6,1292950.8789168922
7,1303364.2905308006
8,1305278.0895791515
9,1304281.053924886
10,1274087.421584104
11,1269788.349632527
12,1263413.8296789716
13,1283785.0645733634
14,1280668.2073883421
15,1292907.7343804822
16,1302316.6226889263
17,1300516.568745084
18,1296426.9675130546
19,1293736.0477241524
20,1306466.3892008644
21,1306759.515238644
22,1315889.686805586
23,1318732.7321041944
24,1325572.8373314908
25,1305127.0498720885
26,1300514.922169601
27,1302810.1785470708
28,1305223.8063800493
29,1303044.3649404985
30,1300102.8404916918
31,1285563.8337006625
32,1298971.7503845654
33,1302584.1257742094
34,1306586.7761433506
35,1310060.8113744925
36,1317866.2374130427
37,1287799.265078892
38,1253277.3803723163
39,1240401.2529166746
40,1242316.0981984772
41,1249363.1387233054
42,1254615.6287013064
43,1242042.9500574674
44,1218706.097940717
45,1217736.4942304518
46,1258182.894952635
47,1252300.0194477944
48,1260367.2485809897
49,1267686.1379865324
50,1285172.387746456
51,1280246.343680127
52,1262762.0345957913
53,1265755.1775344326
54,1284517.8615594136
55,1273116.016758923
56,1256358.7556552049
57,1283877.081970458
58,1290639.9062964881
59,1285046.668097008
60,1284488.5744348203
61,1297108.2645746446
62,1287867.218782396
