,0
0,1000000.0
1,1161429.0072084747
2,1160120.2352614473
3,1161614.4673908206
4,1162833.057156754
5,1163198.7682184274
6,1163122.1439817739
7,1160161.296320158
8,1160310.184406938
9,1160964.1166074872
10,1165976.2700729105
11,1163728.8985871403
12,1166157.9167014207
13,1162200.3150700491
14,1163516.7113166233
15,1164659.6371460878
16,1163444.0169976982
17,1160940.0897710673
18,1161194.8280451908
19,1159451.2128291354
20,1158872.7590110886
21,1161115.3600036898
22,1158841.4049504376
23,1153300.7111935746
24,1152440.1049653692
25,1149284.9392370423
26,1151595.7513490287
27,1149574.290643244
28,1153266.0095974691
29,1153297.7699682883
30,1154079.5350205451
31,1150468.447875341
32,1148022.4750952371
33,1148198.2815954746
34,1145853.0302600618
35,1141015.155209128
36,1151741.2244278088
37,1151366.309488361
38,1155998.8501889207
39,1156546.0786482529
40,1151736.5270304591
41,1149404.9160859843
42,1144595.3828983475
43,1142085.4504994135
44,1142569.7072294839
45,1148468.8650305313
46,1149506.3129821154
47,1158925.7463986508
48,1158822.0140062924
49,1161857.367155719
50,1163345.762053158
51,1166067.4823855236
52,1166708.500702742
53,1167209.4988944402
54,1165764.376687965
55,1155778.6473546582
56,1151713.3062364098
57,1157605.5862050909
58,1160806.9426952023
59,1161648.7684491316
60,1158825.4234268302
61,1180131.1694150679
62,1181591.6167439858
