,0
0,1206334.9295769439
1,1206865.7965447304
2,1205989.183144827
3,1200915.6986797801
4,1201907.8692702353
5,1201065.323976238
6,1200458.9713075203
7,1201806.2003910826
8,1200118.9900112664
9,1201662.302611026
10,1204245.9290763757
11,1205490.8455501122
12,1205903.4718834376
13,1206992.5796533306
14,1204930.8740543718
15,1208874.0310931895
16,1209958.1124667684
17,1208000.4916627186
18,1209499.1164563738
19,1208719.0916276951
20,1208136.144220191
21,1204910.9718561661
22,1206555.8539290868
23,1207335.37608852
24,1212464.3286124086
25,1215972.4265478563
26,1216120.3258440122
27,1214581.0166532628
28,1215151.987028573
29,1217899.2452492313
30,1218022.3929441783
31,1219319.2811256554
32,1221239.3371415997
33,1220671.00970059
34,1222320.399619298
35,1220348.1413714858
36,1220766.4823243525
37,1222671.6559860671
38,1223026.1692654367
39,1220929.007965266
40,1218506.2043036823
41,1219466.1954274643
42,1221373.406542381
43,1225096.0899746956
44,1226575.149980159
45,1228626.5653378665
46,1232247.4553054601
47,1232112.6076930542
48,1236683.1643057086
49,1234767.8685939885
50,1238245.2834152675
51,1234426.0633563902
52,1229577.6311677
53,1228416.2620738326
54,1230422.318461462
55,1231141.0833493324
56,1228820.7523077622
57,1230195.1234892572
58,1229726.441070693
59,1232061.5597507725
60,1232221.8698260079
61,1233427.9338411253
62,1240623.026415881
