,0
0,1240623.026415881
1,1244632.0000342785
2,1248245.6266691498
3,1247869.1915097001
4,1253702.139688104
5,1255747.7846025263
6,1257530.087187408
7,1249940.2181892472
8,1257614.586201188
9,1258950.0482589449
10,1257962.9205200146
11,1257197.3704779726
12,1258224.1258556512
13,1256365.5096490637
14,1256009.147393863
15,1256116.0029750136
16,1257152.4448007466
17,1261275.9156589936
18,1270521.160949684
19,1269926.9254850652
20,1267059.292597115
21,1264533.8985102589
22,1267809.8370406202
23,1265751.701010645
24,1258027.9965340793
25,1254743.685882245
26,1251098.6194476327
27,1251096.7144569063
28,1252988.6779475948
29,1251061.7568062213
30,1260878.7506782254
31,1261368.8142302537
32,1267642.7770669204
33,1268122.9532388444
34,1262076.6782284528
35,1265743.9997120425
36,1276125.828418834
37,1282421.7782569053
38,1269986.4381692722
39,1269958.3682654651
40,1273893.0916147856
41,1271688.409048272
42,1274870.5303973374
43,1276282.4754568997
44,1283460.623107825
45,1281593.7585268687
46,1291749.427563975
47,1287782.170091698
48,1278940.0689287756
49,1275578.2828981201
50,1278412.7870369637
51,1282518.0208942757
52,1298278.4891828012
53,1300632.574542256
54,1305271.4897624576
55,1302689.3493328732
56,1308551.543841865
57,1314177.5403729533
58,1300789.7304298393
59,1294288.969078217
60,1289264.034160577
61,1289083.040117306
62,1280796.2431627777
