,0
0,-746.3611517001409
1,-13232.26062538661
2,6380.9454230165575
3,-4607.64608783531
4,5419.634389103856
5,-12228.63742572465
6,-2500.0177403751295
7,-6057.949809480924
8,1885.1456360854208
9,1906.7285223936196
10,-231.7186409800779
11,-4961.020933380583
12,-83.2119260316249
13,-367.8489339319058
14,2063.856724523939
15,-70.14435918955132
16,-9486.410163966706
17,5233.251450359123
18,7067.147924917284
19,16216.341904449742
20,5069.161650910042
21,-1656.4560893070884
22,-1072.0181421888992
23,3376.171113244025
24,-6617.209458523663
25,-4589.453085482586
26,-613.7701209448278
27,-4607.54098399519
28,-1024.7965186599176
29,1695.6291944151744
30,1019.2774731584359
31,7985.05454658065
32,-1344.2400635939557
33,3087.9020695653744
34,11313.000273897778
35,16076.514366848161
36,16146.272926699603
37,38817.07119154325
38,67437.03767054388
39,60368.59858161956
40,-62553.79108703183
41,-1949.6213926004712
42,-16980.948081527138
43,7034.974746858701
44,-12190.908250395209
45,-9400.204049725085
46,-2942.555665177759
47,17810.26737874048
48,8225.73268457735
49,5221.300697029568
50,4506.059085146058
51,-12926.316341661848
52,10483.10351523012
53,3447.6688607092947
54,-15416.449982963735
55,-3560.195226664422
56,4905.864790626802
57,-11541.357072492596
58,12073.39802763611
59,21446.299586131005
60,-4670.901051414898
61,17567.338294418063
