tic,type,quantity,price,high,low,day
002905,sell,100,9.92856480554212,9.99,9.76,2025-08-19
600795,sell,100,4.395024751941674,4.74,4.56,2025-08-19
002001,sell,100,22.572516179867087,23.25,22.74,2025-08-19
601628,buy,100,41.89538605183363,42.89,41.46,2025-08-19
601319,buy,100,9.938656893248707,10.1456436,9.92149566,2025-08-19
601877,buy,100,24.496884147252423,24.67,24.12,2025-08-19
002600,buy,100,11.092038128345738,12.22,11.26,2025-08-19
002905,sell,100,9.865796601343899,9.92,9.74,2025-08-20
600795,sell,100,4.649916750742123,4.73,4.64,2025-08-20
002001,sell,100,23.34810814253986,23.39,22.71,2025-08-20
601628,buy,100,40.900836516749116,42.03,41.04,2025-08-20
601319,buy,100,9.79187786804257,10.12204908,9.82711758,2025-08-20
601877,buy,100,24.16010678402614,24.38,24.0,2025-08-20
002600,buy,100,12.160628403360025,13.28,11.99,2025-08-20
002905,sell,100,9.744396980041637,9.95,9.78,2025-08-21
600795,sell,100,4.652673422172666,4.73,4.67,2025-08-21
002001,sell,100,23.42585724843666,24.11,23.33,2025-08-21
601628,buy,100,41.2626388335973,42.36,41.68,2025-08-21
601319,buy,100,10.001447936804189,10.4405751,10.13384634,2025-08-21
601877,buy,100,24.248130731703714,24.4,24.13,2025-08-21
002600,buy,100,12.977884116210044,13.13,11.98,2025-08-21
002905,sell,100,9.873811021191067,9.99,9.81,2025-08-22
600795,sell,100,4.68549335540738,4.73,4.66,2025-08-22
002001,sell,100,23.57431044277735,24.16,23.71,2025-08-22
601628,buy,100,41.15744989888742,42.66,41.61,2025-08-22
601319,buy,100,10.123498092978531,10.39338606,10.24002168,2025-08-22
601877,buy,100,24.182412112141026,24.33,24.1,2025-08-22
002600,buy,100,12.035371431596579,12.36,11.94,2025-08-22
002905,sell,100,9.797446246957406,9.87,9.73,2025-08-25
600795,sell,100,4.678051836460363,4.72,4.68,2025-08-25
002001,sell,100,24.183578228987752,24.25,23.77,2025-08-25
601628,buy,100,41.96320629805326,42.92,42.19,2025-08-25
601319,buy,100,10.231931275810238,10.47596688,10.28721072,2025-08-25
601877,buy,100,24.3048981966509,24.75,24.28,2025-08-25
002600,buy,100,12.242223908500746,13.54,12.17,2025-08-25
002905,sell,100,9.766537820799275,10.07,9.73,2025-08-26
600795,sell,100,4.708721648305654,4.72,4.68,2025-08-26
002001,sell,100,24.206345443334428,25.19,24.15,2025-08-26
601628,buy,100,41.922600027583535,42.92,42.34,2025-08-26
601319,buy,100,10.246040406944362,10.42877784,10.29900798,2025-08-26
601877,buy,100,24.674290059655902,26.22,24.58,2025-08-26
002600,buy,100,13.466515089403837,14.9,13.86,2025-08-26
002905,sell,100,10.008516095638333,10.17,9.53,2025-08-27
600795,sell,100,4.7002373151085335,4.81,4.67,2025-08-27
002001,sell,100,24.07797358278185,25.17,24.3,2025-08-27
601336,buy,100,85.18208291007358,87.43508139,83.6346996,2025-08-27
601628,buy,100,41.806841889712956,42.75,41.41,2025-08-27
601319,buy,100,10.141991389283447,10.34619702,10.03946826,2025-08-27
601877,buy,100,25.199606334343553,26.4,25.28,2025-08-27
002600,buy,100,14.840018540387973,16.06,14.66,2025-08-27
002905,sell,100,9.535903202088084,9.79,9.3,2025-08-28
600795,sell,100,4.67105368964374,4.72,4.64,2025-08-28
002001,sell,100,24.967260049283507,24.52,23.65,2025-08-28
601336,sell,100,82.33521610187353,85.09436181,82.4511897,2025-08-28
601628,buy,100,40.76078076150269,41.24,40.15,2025-08-28
601319,buy,100,9.88547780888923,10.29900798,9.99227922,2025-08-28
601877,buy,100,24.834723026268183,27.86,26.59,2025-08-28
002600,buy,100,14.647608655113727,16.24,14.42,2025-08-28
002905,sell,100,9.62369604334235,9.67,9.36,2025-08-29
600795,sell,100,4.7122940885555,4.82,4.68,2025-08-29
002001,sell,100,24.635384410619736,24.94,24.41,2025-08-29
601336,buy,100,83.50506161167989,93.57618276,88.05313656,2025-08-29
601628,buy,100,40.56329881578684,43.23,41.28,2025-08-29
601319,buy,100,10.098731349262403,10.93606002,10.3226025,2025-08-29
601877,buy,100,26.800828812122344,28.15,27.15,2025-08-29
002600,buy,100,16.118315857760606,16.24,15.24,2025-08-29
002905,sell,100,9.356554441445041,9.55,9.17,2025-09-01
600795,sell,100,4.682138010691852,4.86,4.7,2025-09-01
002001,sell,100,24.37487521125935,24.91,24.34,2025-09-01
601336,buy,100,88.19315981191296,89.11829547,86.21212116,2025-09-01
601628,buy,100,41.11373054787517,42.22,40.61,2025-09-01
601319,buy,100,10.37553454193201,10.5585477,10.28721072,2025-09-01
601877,buy,100,26.570974621735512,28.48,27.49,2025-09-01
002600,buy,100,15.452040477618574,16.03,15.11,2025-09-01
002905,sell,100,9.370147581915372,9.58,9.09,2025-09-02
600795,sell,100,4.813226263471878,4.87,4.77,2025-09-02
002001,sell,100,24.605761841125787,24.81,24.01,2025-09-02
601336,sell,100,84.94025025934846,86.96167743,84.66040818,2025-09-02
601628,buy,100,39.93279795832932,40.99,40.3,2025-09-02
601319,buy,100,10.159363452111231,10.39338606,10.22822442,2025-09-02
601877,buy,100,27.788038532668722,28.1,26.81,2025-09-02
002600,buy,100,15.742263898369856,15.34,14.27,2025-09-02
002905,sell,100,9.520993634257467,10.52,9.55,2025-09-03
600795,sell,100,4.833375255565625,4.85,4.78,2025-09-03
002001,sell,100,24.678656319023574,24.47,23.73,2025-09-03
601336,sell,100,84.02632244456301,86.84332644,82.72734201,2025-09-03
601628,buy,100,39.89454137193039,40.95,39.31,2025-09-03
601319,buy,100,10.182151664391364,10.42877784,9.98048196,2025-09-03
601877,buy,100,28.58666158456355,28.42,26.9,2025-09-03
002600,buy,100,14.486180465202779,14.63,13.76,2025-09-03
002905,sell,100,10.512055229994003,11.57,10.53,2025-09-04
600795,sell,100,4.809786052745148,4.86,4.75,2025-09-04
002001,sell,100,24.07479027673602,24.0,23.09,2025-09-04
601628,buy,100,38.864396248310804,40.69,38.83,2025-09-04
601319,buy,100,9.917044656357312,10.05126552,9.75633402,2025-09-04
601877,buy,100,30.532290624082087,28.54,27.35,2025-09-04
002600,buy,100,13.970152381062508,14.38,13.18,2025-09-04
002905,sell,100,10.69409424585756,10.6,9.6,2025-09-05
600795,sell,100,4.844205938105006,4.93,4.8,2025-09-05
002001,sell,100,24.190734342951327,23.88,23.33,2025-09-05
601628,buy,100,39.44655830673873,39.97,39.45,2025-09-05
601319,buy,100,9.889772497685124,9.94509018,9.7917258,2025-09-05
601877,buy,100,29.42321516856551,29.0,27.5,2025-09-05
002600,buy,100,13.603625171959866,14.06,13.25,2025-09-05
002905,sell,100,10.140724751474336,10.51,9.72,2025-09-08
600795,sell,100,4.870292222183197,5.03,4.89,2025-09-08
002001,sell,100,23.70019436492585,24.72,23.83,2025-09-08
601628,buy,100,39.04225039856508,39.85,39.31,2025-09-08
601319,buy,100,9.795939648103046,9.94509018,9.75633402,2025-09-08
601877,buy,100,29.90115445777774,29.28,28.06,2025-09-08
002600,buy,100,13.9540145674604,14.38,13.79,2025-09-08
002905,sell,100,10.235955360956723,10.71,10.14,2025-09-09
600795,sell,100,4.976213985430077,5.03,4.96,2025-09-09
002001,sell,100,23.847542169993975,24.95,24.2,2025-09-09
601628,buy,100,38.7592917484045,39.64,39.18,2025-09-09
601319,buy,100,9.702546490446101,9.87430662,9.70914498,2025-09-09
601877,buy,100,29.80560286220163,28.55,27.7,2025-09-09
002600,buy,100,14.045514210825786,14.28,13.63,2025-09-09
002905,sell,100,10.238952560080216,11.34,10.12,2025-09-10
600795,sell,100,5.005225074924528,5.12,4.98,2025-09-10
002001,sell,100,24.306817008815703,24.49,23.91,2025-09-10
601628,buy,100,38.866311760898675,39.49,39.18,2025-09-10
601319,buy,100,9.652097378166351,9.7917258,9.6737532,2025-09-10
601877,buy,100,29.26869993399829,28.04,27.31,2025-09-10
002600,buy,100,13.665864229742438,14.03,13.54,2025-09-10
002905,sell,100,11.205342898461968,12.47,10.74,2025-09-11
600795,sell,100,5.0845969743328165,5.15,5.05,2025-09-11
002001,sell,100,24.620847792867572,24.39,23.89,2025-09-11
601628,buy,100,38.69924085568636,39.43,38.88,2025-09-11
601319,buy,100,9.601359195085857,9.8507121,9.68555046,2025-09-11
601877,buy,100,28.751028549000623,28.64,27.7,2025-09-11
002600,buy,100,13.622411902248858,14.86,13.36,2025-09-11
002905,sell,100,12.246000233106315,13.72,12.69,2025-09-12
600795,sell,100,5.075618096082471,5.13,5.05,2025-09-12
002001,sell,100,24.35318720826879,25.15,24.23,2025-09-12
601628,buy,100,38.95652278248221,39.56,38.92,2025-09-12
601319,buy,100,9.724518567668385,9.89790114,9.69734772,2025-09-12
601877,buy,100,29.257844717130066,28.53,27.86,2025-09-12
002600,buy,100,14.432724486999213,14.79,14.19,2025-09-12
002905,sell,100,13.345977596044541,14.98,13.18,2025-09-15
600795,sell,100,5.057056163109373,5.21,5.04,2025-09-15
002001,sell,100,24.107676915116606,25.17,24.4,2025-09-15
601628,buy,100,38.58762562103569,39.03,38.64,2025-09-15
601319,buy,100,9.58292850696216,9.72094224,9.57937512,2025-09-15
601877,buy,100,28.411109430119396,28.24,27.6,2025-09-15
002600,buy,100,14.246741385399364,14.86,14.13,2025-09-15
002905,sell,100,12.751949024610221,14.16,12.22,2025-09-16
600795,sell,100,5.066826047459617,5.11,5.01,2025-09-16
002001,sell,100,25.011281186391134,24.56,23.87,2025-09-16
601336,buy,100,82.00700877200664,81.99093585,80.09732001,2025-09-16
601628,buy,100,38.33975528450683,38.78,38.31,2025-09-16
601319,buy,100,9.481590936998233,9.63836142,9.48499704,2025-09-16
601877,buy,100,28.139617509562523,27.95,27.13,2025-09-16
002600,buy,100,14.571041458612308,15.34,14.34,2025-09-16
002905,sell,100,12.770001193508506,14.32,12.5,2025-09-17
600795,sell,100,5.058627755851485,5.15,5.04,2025-09-17
002001,sell,100,24.453436936555224,24.23,23.95,2025-09-17
601336,buy,100,80.23297872374052,81.30713013,79.71596682,2025-09-17
601628,buy,100,38.27673958315514,39.03,38.46,2025-09-17
601319,buy,100,9.396498052797615,9.6147669,9.50859156,2025-09-17
601877,buy,100,27.83644440319389,28.26,27.36,2025-09-17
002600,buy,100,15.248440016959794,15.32,14.86,2025-09-17
002905,sell,100,13.160200024545192,15.44,13.62,2025-09-18
600795,sell,100,5.090160825185012,5.1,4.93,2025-09-18
002001,sell,100,23.93894373189658,24.19,23.65,2025-09-18
601336,sell,100,79.57390125086685,80.3471721,77.96700219,2025-09-18
601628,buy,100,38.75707369716838,38.91,38.13,2025-09-18
601319,buy,100,9.452729529780385,9.56757786,9.1428765,2025-09-18
601877,buy,100,28.33344909213949,28.55,27.58,2025-09-18
