tic,type,quantity,price,high,low,day
600795,buy,100,5.317264514346607,5.33,5.2,2024-08-16
002905,buy,100,6.412926003732719,6.44,6.18,2024-08-16
000776,buy,100,11.491220216788351,11.46,11.37,2024-08-16
002001,sell,100,19.34820370517671,19.61,19.0,2024-08-19
601336,buy,100,36.783896781028474,38.2291236,37.13217975,2024-08-19
601628,buy,100,29.811799757981788,30.53,29.61,2024-08-19
601319,buy,100,6.415294162847177,6.62777775,6.44335263,2024-08-19
300442,buy,100,20.71479639083147,22.07,20.27,2024-08-19
601877,buy,100,17.540230098247992,17.68,17.35,2024-08-19
600795,buy,100,5.257804254982621,5.3,5.21,2024-08-19
002905,buy,100,6.125212022345512,6.29,6.11,2024-08-19
000776,buy,100,11.462505940888077,11.52,11.35,2024-08-19
601877,sell,100,17.350396846134682,17.44,16.99,2024-08-20
002001,sell,100,19.172341993730516,19.42,18.67,2024-08-20
601336,buy,100,37.75254435212724,38.29216635,37.6995645,2024-08-20
601628,buy,100,30.505317137620295,30.51,30.09,2024-08-20
601319,buy,100,6.546511234295825,6.65083089,6.55861833,2024-08-20
300442,buy,100,21.164438931569457,21.86,21.18,2024-08-20
600795,buy,100,5.24720093611395,5.29,5.09,2024-08-20
002905,buy,100,6.079383312556892,6.21,5.98,2024-08-20
000776,buy,100,11.489706515446306,11.46,11.3,2024-08-20
002001,sell,100,19.047075069914573,19.08,18.63,2024-08-21
601336,buy,100,37.536297527750136,37.86347565,37.0943541,2024-08-21
601628,buy,100,30.42597674536286,30.5,29.98,2024-08-21
601319,buy,100,6.5555071745303195,6.63930432,6.51251205,2024-08-21
300442,buy,100,21.68020485006273,21.84,20.94,2024-08-21
601877,buy,100,17.06541220166255,17.1,16.84,2024-08-21
600795,buy,100,5.1868256686232055,5.2,5.11,2024-08-21
002905,buy,100,6.134061744669452,6.18,5.97,2024-08-21
000776,buy,100,11.403790529500693,11.39,11.2,2024-08-21
601877,sell,100,16.8166873748065,16.99,16.79,2024-08-22
002001,sell,100,18.788476747124808,18.85,18.14,2024-08-22
601336,buy,100,37.02089926884835,37.61130465,37.0439199,2024-08-22
601628,buy,100,30.423104821471497,30.76,30.24,2024-08-22
601319,buy,100,6.558021646793233,6.6854106,6.58167147,2024-08-22
300442,buy,100,22.06548092521727,22.67,21.31,2024-08-22
600795,buy,100,5.187982038508635,5.2,5.11,2024-08-22
002905,buy,100,5.965338379153982,6.05,5.78,2024-08-22
000776,buy,100,11.32085970170796,11.29,11.0,2024-08-22
002001,sell,100,19.077949872314928,18.7,18.17,2024-08-23
601336,buy,100,36.8556191058425,38.3804262,36.9682686,2024-08-23
601628,buy,100,30.702377029927447,31.36,30.41,2024-08-23
601319,buy,100,6.63462830817681,6.6854106,6.58167147,2024-08-23
300442,buy,100,22.58734696365893,22.37,21.65,2024-08-23
601877,buy,100,16.777352998005227,16.96,16.7,2024-08-23
600795,buy,100,5.208610939148349,5.19,5.06,2024-08-23
002905,buy,100,5.808713168674148,5.85,5.71,2024-08-23
000776,buy,100,11.154838147312402,11.25,11.0,2024-08-23
002001,sell,100,18.34774910291657,18.46,18.21,2024-08-26
601336,buy,100,38.081440394710114,38.582163,37.8760842,2024-08-26
601628,buy,100,31.447784046046436,31.6,31.01,2024-08-26
601319,buy,100,6.677526036963029,6.6854106,6.54709176,2024-08-26
300442,buy,100,22.272066078465432,22.0,21.35,2024-08-26
601877,buy,100,16.76099557030946,17.03,16.85,2024-08-26
600795,buy,100,5.128265625280329,5.14,5.05,2024-08-26
002905,buy,100,5.8238552438188345,5.85,5.71,2024-08-26
000776,buy,100,11.242695210445673,11.27,11.11,2024-08-26
002001,sell,100,18.133747976589948,18.58,18.26,2024-08-27
601336,buy,100,38.24623984525752,38.64520575,38.1534723,2024-08-27
601628,buy,100,31.826942729093133,31.99,31.37,2024-08-27
601319,buy,100,6.695252412101755,6.70846374,6.61625118,2024-08-27
300442,buy,100,21.90248995570466,22.19,21.39,2024-08-27
601877,buy,100,16.82516231895424,16.86,16.43,2024-08-27
600795,buy,100,5.137954046726227,5.14,5.09,2024-08-27
002905,buy,100,5.82925111011602,5.8,5.55,2024-08-27
000776,buy,100,11.256666354816407,11.18,10.95,2024-08-27
601877,sell,100,16.402699486119673,16.61,16.34,2024-08-28
002001,sell,100,17.872537513729185,18.63,18.25,2024-08-28
601336,buy,100,38.13914193902928,38.39303475,37.88869275,2024-08-28
601628,buy,100,32.11087770622223,32.13,31.57,2024-08-28
601319,buy,100,6.752260551452242,6.67388403,6.58167147,2024-08-28
