,0
0,108.72550829988904
1,-5964.341211632127
2,1184.8099679085426
3,-3632.449963997584
4,-4676.190936028957
5,-2928.49926066841
6,3423.6249975559767
7,1353.0371667186264
8,743.9527403831016
9,-10796.635120095452
10,-1624.1163733454887
11,-1606.8400419959798
12,5632.527288199635
13,-588.2130233254284
14,2821.979207218159
15,3349.990444529103
16,938.7243920015171
17,-1130.9043006142601
18,-155.13063447270542
19,4126.517463954398
20,3039.9595068909694
21,1708.1404062872753
22,1916.922494002618
23,4343.080413414864
24,-3836.8441577807534
25,-539.0686241961084
26,-451.61309077357873
27,1687.9161621828098
28,-2540.9170041091274
29,-1878.311545816483
30,-3082.1628039036877
31,2875.7710123264696
32,1987.1365885431878
33,202.08522253134288
34,1114.5913904709741
35,2514.450736366445
36,-7102.21381425485
37,-8717.923384180525
38,-3639.610575456405
39,-1090.7273886178154
40,-128.86483390512876
41,-1520.6871861789841
42,-2679.735667967936
43,-6206.427873446839
44,118.1426898825448
45,9105.169547445606
46,-1463.5001358296722
47,2658.5049942694604
48,1890.4777768233325
49,5583.539391355356
50,-1663.4125666287728
51,-6228.47015459137
52,2657.443920230726
53,3904.711392890895
54,-2414.156316105742
55,-6004.577322734287
56,6459.009410675848
57,101.12953629996628
58,182.1943478048779
59,-1699.7609653039835
60,2165.35139801912
61,-1781.8241870969068
