,0
0,1000000.0
1,1161497.7962541913
2,1160195.8868893997
3,1161217.6774610432
4,1161826.833033275
5,1162564.983535482
6,1163731.5595137642
7,1160529.8426971415
8,1159168.6195104402
9,1159466.666200896
10,1164547.811919118
11,1161394.5246653438
12,1163231.013244286
13,1158878.3502821112
14,1160762.170661042
15,1162581.7348869839
16,1159892.7550447816
17,1157464.434190882
18,1157212.1876178563
19,1155318.1582466601
20,1157125.814511826
21,1160760.6471842802
22,1159999.8825254287
23,1155629.5137085519
24,1155955.813527903
25,1152987.0000724015
26,1154919.9589052843
27,1153351.8335201002
28,1155382.654794172
29,1150067.1592021936
30,1150787.175484901
31,1145742.7227815383
32,1141851.4711713078
33,1142927.5008204354
34,1137214.2752257355
35,1131293.084427515
36,1141967.1670016397
37,1135637.4788633557
38,1137648.2468180913
39,1141377.7564993745
40,1137071.528026091
41,1136015.9844677479
42,1131270.7399474736
43,1128286.604710184
44,1120865.9650205388
45,1125005.78224373
46,1126122.9830301604
47,1138747.2963074183
48,1138232.0224044963
49,1142416.2571934725
50,1139788.4172746493
51,1141892.9325785465
52,1143648.147266472
53,1147580.5178170726
54,1143873.419804864
55,1131537.7320025857
56,1128888.3949844
57,1134392.6309213133
58,1136794.0033547753
59,1135563.1812721929
60,1132012.6849156236
61,1151607.5768073567
62,1150512.5691450383
