,0
0,34720.10427290271
1,-35198.340084075
2,25380.048735320568
3,-13566.58026933507
4,58076.02971510426
5,36706.3121928731
6,-36294.6698886489
7,21802.88812210923
8,-14428.845423455583
9,-60051.57993897167
10,-4728.57796438341
11,5206.92938180943
12,1325.1509331469424
13,13696.92350954027
14,-16026.465034119785
15,-13601.708660254488
16,16885.98027617624
17,20883.812148127705
18,-7.675161138176918
19,83691.19362755748
20,4561.144556685351
21,-12214.158748086775
22,-6923.312685452402
23,-52507.474922906375
24,-23513.60826318944
25,19866.389040683862
26,-8414.617248877883
27,4488.327241366729
28,-19962.119281742955
29,-13629.998637723736
30,-6544.354466700228
31,4424.257609786
32,12292.635596589185
33,-6179.211631390965
34,-123047.29230059008
35,8803.424706191057
36,4671.017573813675
37,19835.071082172915
38,4657.5816887978
39,13721.118503350532
40,7175.251548747765
41,9027.979336543242
42,7680.768946578959
43,-2478.8423791846726
44,5475.562657374423
45,-4008.551082496764
46,12098.679827955551
47,-23803.038246690296
48,-20597.18672450469
49,-6565.631269480335
50,-6198.288846590556
51,14981.03314724192
52,19643.1164776464
53,1590.7450774405152
54,13380.629457487259
55,-11904.043983638287
56,13848.597390061943
57,-3121.5140449462924
58,48522.50578778237
59,-29548.893171037547
60,-8294.33039586898
61,-4612.804551482899
