,0
0,-1897.320195254404
1,-624.0631379408296
2,1723.947693100199
3,-1020.3254324635491
4,850.5382828910369
5,-3114.072076049866
6,-561.8382182870992
7,-1279.354791225167
8,560.2739942600019
9,-967.5907194351312
10,180.6639017481357
11,-1756.5339352653828
12,-1272.6945029306225
13,-629.9945177936461
14,488.6091738939285
15,520.2265900364146
16,-3240.6404682807624
17,1399.3002011696808
18,734.6719799370039
19,6299.558636499802
20,3420.9402274568565
21,-1002.3471454449464
22,-927.630093354499
23,1313.2719728853554
24,-1560.6980942809023
25,-2129.7923860005103
26,-790.0787108005024
27,-2066.296036024578
28,372.57800940214656
29,175.16752980928868
30,313.3797115134075
31,1381.626767638838
32,-208.70634464803152
33,1334.312531299889
34,9068.030130292522
35,5454.121454544831
36,7886.431645995006
37,11770.848867461784
38,20937.022644726327
39,18285.474200223107
40,-18015.926007472444
41,4159.314967186656
42,-7203.161025622161
43,4738.5302854017355
44,-7107.982647348428
45,-2764.702190080192
46,-181.8101084921509
47,8282.175470324466
48,830.5625924125779
49,3558.269973491784
50,1109.606679736171
51,-5155.0590642571915
52,1181.033118297113
53,57.937734114704654
54,-3962.6111150858924
55,-1780.3131256776396
56,5184.549935820745
57,-3198.2504466436803
58,4672.202325731283
59,9552.271767436992
60,198.67822697432712
61,12308.184360996354
